,author,text,source,date,target,label
0,Jeff Cercone,“It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.,Facebook posts,"January 4, 2022",barely-true,0
1,Ciara O'Rourke,President Joe Biden “has the lowest approval rating of any president ever.”,Facebook posts,"January 4, 2022",false,0
2,Jeff Cercone,"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",Instagram posts,"January 4, 2022",false,0
3,Monique Curet,“Jan. 6 was NOT an insurrection…but Nov. 4 at 3 a.m. was!”,Facebook posts,"January 4, 2022",pants-fire,0
4,Monique Curet,A judge sealed “all the evidence and proof of who helped Ghislaine Maxwell sex traffic children.”,Facebook posts,"January 4, 2022",false,0
5,Alan Hovorka,"Actions by Joe Biden left ""10,000 - 15,000 American citizens abandoned to terrorists in Afghanistan.""",Derrick Van Orden,"January 4, 2022",barely-true,0
6,Jeff Cercone,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,Instagram posts,"January 3, 2022",false,0
7,Andy Nguyen,"""By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.""",Instagram posts,"January 3, 2022",barely-true,0
8,Jill Terreri,Vaccines are why flights have been shut down worldwide.,Facebook posts,"• January 3,",false,0
9,Jeff Cercone,“Most Americans on minimum wage earn less than a Dickensian allegory for destitution.”,Facebook posts,"January 3, 2022",half-true,0
10,Bill McCarthy,"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”",Facebook posts,"January 3, 2022",pants-fire,0
11,Monique Curet,A video clip shows a failed attempt by China to launch airstrikes near Taiwan.,Facebook posts,"January 3, 2022",pants-fire,0
12,Tom Kertscher,“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,Bloggers,"January 3, 2022",pants-fire,0
13,Tom Kertscher,“Trump cut Social Security benefits by over $3 billion.”,Congressional Progressive Caucus PAC,"January 3, 2022",false,0
14,Madeline Heim,"The push for high-speed internet for rural areas, from the start, “was a Democratic thing.”",Jon Erpenbach,"December 28, 2021",half-true,0
15,Gabrielle Settles,“WHO Director-General: The vaccines are being used to kill children.”,Tweets,"December 23, 2021",false,0
16,Louis Jacobson,"“More people, aged 18-45, died of Fentanyl overdoses in 2020 than covid, car accidents, cancer, + suicide combined.”",Facebook posts,"December 23, 2021",half-true,0
17,Jeff Cercone,Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,Peter McCollough,"December 23, 2021",false,0
18,Gabrielle Settles,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",Facebook posts,"December 23, 2021",false,0
19,Paul Specht,Audio clips from ad show Pat McCrory supported Black Lives Matter protesters while condemning ‘Trump supporters’,Club for Growth,"December 22, 2021",barely-true,0
20,Jill Terreri,NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.,Facebook posts,"• December 22,",false,0
21,Louis Jacobson,"“I represent more, or just as many or more, people than Joe Manchin does.”",Alexandria Ocasio-Cortez,"December 22, 2021",false,0
22,Amy Sherman,People vaccinated for COVID-19 “do not spread the disease to anyone else.”,Joe Biden,"December 22, 2021",barely-true,0
23,Tom Kertscher,"Eating grapefruit, “if you're on antidepressants,” can “cause a fatal overdose.”",Facebook posts,"December 21, 2021",false,0
24,Vivian Lam,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",Bloggers,"December 21, 2021",false,0
25,Bill McCarthy,"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",Facebook posts,"December 21, 2021",false,0
26,Tom Kertscher,“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,Steve Kirsch,"December 21, 2021",pants-fire,0
27,Tom Kertscher,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",Facebook posts,"December 20, 2021",false,0
28,Bill McCarthy,“Maybe they’re just calling the common cold … the omicron variant.”,Facebook posts,"December 20, 2021",false,0
29,Jon Greenberg,"The expanded child tax credit in the Build Back Better Act has “no means testing,” so people making $200,000 and $400,000 would get “the same as someone making” $70,000.",Joe Manchin,"December 20, 2021",barely-true,0
30,Luiz Romero,“Moderna patent uncovers horror nanocensor contained in bioweapon.”,Facebook posts,"December 20, 2021",false,0
31,Ciara O'Rourke,“Obama certificate a fake.”,Bloggers,"December 20, 2021",pants-fire,0
32,Ciara O'Rourke,It’s a myth that autism is genetic.,Viral image,"December 20, 2021",false,0
33,Becca Schimmel,"“Dr. Ugur Sahin, CEO of BioNTech and inventor of the BIO N TECH Pfizer jab, refuses to take the jab for safety reasons.”",Facebook posts,"December 20, 2021",false,0
34,Jill Terreri,"“Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”",Lee Zeldin,"• December 18,",mostly-true,1
35,Ciara O'Rourke,"“Dying nurse on deathbed claims she swapped more than 5,000 babies for ‘fun.’”",Viral image,"December 17, 2021",pants-fire,0
36,Bill McCarthy,“Boy passes Joe Biden a vial of fresh blood to drink on his way back to the White House”,Tweets,"December 17, 2021",pants-fire,0
37,Ciara O'Rourke,“Santa Claus arrested by German police for not wearing a mask.”,Bloggers,"December 17, 2021",false,0
38,Ciara O'Rourke,“McDonald’s puts aborted baby fetuses in their food.”,Facebook posts,"December 17, 2021",false,0
39,Ciara O'Rourke,“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,Viral image,"December 17, 2021",false,0
40,Ciara O'Rourke,Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,Viral image,"December 17, 2021",false,0
41,Samantha Putterman,Microsoft and Bill Gates created a 1999 video game called “Omikron.”,Facebook posts,"December 17, 2021",false,0
42,Lyle Muller,Chuck Grassley was “voting to slash Medicare” when voting against the debt ceiling bill.,Abby Finkenauer,"December 16, 2021",half-true,0
43,Jeff Cercone,Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,Facebook posts,"December 16, 2021",false,0
44,Tom Kertscher,“They've planned this” COVID-19 “pandemic all along!”,Facebook posts,"December 16, 2021",pants-fire,0
45,Monique Curet,A video from British public broadcaster BBC shows the network was part of a 9/11 conspiracy.,Instagram posts,"December 16, 2021",false,0
46,Amy Sherman,"Rep. Kathy Castor, D-Fla., is a communist",Hillsborough County Republican Executive Committee,"December 15, 2021",pants-fire,0
47,Samantha Putterman,“California store owner prices all items at $951 so thieves can be prosecuted.”,Facebook posts,"December 15, 2021",false,0
48,Louis Jacobson,“I’ve been against that war in Afghanistan from the very beginning.”,Joe Biden,"December 15, 2021",false,0
49,Samantha Putterman,The COVID-19 vaccines cause AIDS.,Facebook posts,"December 15, 2021",pants-fire,0
50,Jill Terreri,"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",Bloggers,"• December 15,",false,0
51,Ciara O'Rourke,“The military’s actually been in charge since November 3rd.”,Facebook posts,"December 14, 2021",pants-fire,0
52,Laura Schulte,"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",Glenn Grothman,"December 14, 2021",half-true,0
53,Warren Fiske,“Overdoses in Virginia (are) up 35%.”,John McGuire,"December 14, 2021",mostly-true,1
54,Jon Greenberg,“The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.”,Lindsey Graham,"December 14, 2021",false,0
55,Tom Kertscher,“Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.”,Facebook posts,"December 13, 2021",false,0
56,Ciara O'Rourke,Says Anthony Fauci “wants Americans to get 4 shots per year.”,Facebook posts,"December 13, 2021",false,0
57,Ciara O'Rourke,“Ivanka Trump is joining the Democrats to run against her dad.”,Facebook posts,"December 13, 2021",pants-fire,0
58,Monique Curet,"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",Bloggers,"December 13, 2021",false,0
59,Ciara O'Rourke,"“Dr. Oz releases COPD gummies that help quit smoking, detox lungs and stop COPD.”",Facebook posts,"December 13, 2021",false,0
60,Madeline Heim,"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",Ron Johnson,"December 13, 2021",pants-fire,0
61,Tom Kertscher,"“Norway spends about $30,000 per child on early childhood care, Finland spends $23,000, Germany $18,000” and the U.S. $500.",Robert Reich,"December 10, 2021",mostly-true,1
62,Gabrielle Settles,"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",Instagram posts,"December 10, 2021",false,0
63,Luiz Romero,German chemist Andreas Noack was “assassinated just hours after publishing the secret of the vax by government operatives.”,Facebook posts,"December 10, 2021",false,0
64,Samantha Putterman,The COVID-19 vaccine is the “deadliest vaccine ever made.”,"Robert F. Kennedy, Jr.","December 10, 2021",pants-fire,0
65,Ciara O'Rourke,Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,Facebook posts,"December 10, 2021",false,0
66,Ciara O'Rourke,“Hillary replaces Kamala Harris.”,Facebook posts,"December 10, 2021",pants-fire,0
67,Monique Curet,"""Canada joins the no jab, no food trend""",Facebook posts,"December 10, 2021",barely-true,0
68,Andy Nguyen,"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",Bloggers,"December 10, 2021",false,0
69,Duncan Slade,"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",Joe Manchin,"December 10, 2021",half-true,0
70,Jon Greenberg,The Build Back Better Act “includes $34.5 billion in cuts” for charity care funding to hospitals.,Rick Scott,"December 10, 2021",half-true,0
71,Tom Kertscher,"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",Facebook posts,"December 10, 2021",false,0
72,Ciara O'Rourke,"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",Viral image,"December 10, 2021",false,0
73,Ciara O'Rourke,“An organ recovery medical team pays tribute to a young female organ donor” in this photo.,Viral image,"December 10, 2021",barely-true,0
74,Monique Curet,"“The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.”",Facebook posts,"December 9, 2021",false,0
75,Louis Jacobson,"""Over time there have been 160-some carve-outs to the filibuster.""",Amy Klobuchar,"December 9, 2021",mostly-true,1
76,Ciara O'Rourke,Ghislaine Maxwell’s co-defendants include Beyonce and Kanye West.,Viral image,"December 9, 2021",false,0
77,Monique Curet,Electric vehicles are more likely to fail in traffic jams.,Facebook posts,"December 9, 2021",false,0
78,Jeff Cercone,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",Facebook posts,"December 9, 2021",false,0
79,Louis Jacobson,"Gas prices were ""$1.86 when I left"" the White House.",Donald Trump,"December 8, 2021",false,0
80,Bill McCarthy,"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",Facebook posts,"December 8, 2021",false,0
81,Samantha Putterman,Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,Instagram posts,"December 8, 2021",pants-fire,0
82,Ciara O'Rourke,“There’s only one reporter on site” at the Ghislaine Maxwell trial.,Facebook posts,"December 8, 2021",false,0
83,Ciara O'Rourke,“Trump was secretly inaugurated as president of the restored Republic.”,Facebook posts,"December 8, 2021",pants-fire,0
84,Ciara O'Rourke,Photo shows “a German mall separating the vaccinated and unvaccinated.”,Viral image,"December 8, 2021",false,0
85,Vivian Lam,"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”",Facebook posts,"December 8, 2021",false,0
86,Monique Curet,"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”",Instagram posts,"December 7, 2021",pants-fire,0
87,Louis Jacobson,"“Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”",Joe Biden,"December 7, 2021",mostly-true,1
88,Julie Appleby,"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”",Community Oncology Alliance,"December 7, 2021",half-true,0
89,Madison Czopek,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,Bloggers,"December 7, 2021",false,0
90,Ciara O'Rourke,A video shows people in Romania protesting COVID-19 vaccines.,Viral image,"December 7, 2021",false,0
91,Ciara O'Rourke,Says Boris Johnson faked getting his booster shot.,Viral image,"December 7, 2021",false,0
92,Ciara O'Rourke,Says Prince Harry and Meghan Markle’s baby doesn’t exist.,Facebook posts,"December 7, 2021",false,0
93,Gabrielle Settles,Image shows Donald Trump’s new Christmas card.,Viral image,"December 6, 2021",pants-fire,0
94,Monique Curet,"A Canary Islands volcano eruption could lead to a mega tsunami in the U.S., with a 160-foot wave and no warnings.",Facebook posts,"December 6, 2021",false,0
95,Jeff Cercone,"""Tap water is testing positive for COVID!”",Tweets,"December 6, 2021",false,0
96,Monique Curet,"“On the first day of the Ghislaine Maxwell trial, the CEO of Twitter resigned, the CEO of Walmart resigned, the CEO of CNBC resigned”",Facebook posts,"December 4, 2021",barely-true,0
97,Tom Kertscher,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,Instagram posts,"December 3, 2021",false,0
98,Jon Greenberg,“I used to drive a tractor trailer … I only did it for part of a summer.”,Joe Biden,"December 3, 2021",false,0
99,Louis Jacobson,The House-passed Build Back Better bill is a “government takeover of child care.”,Kevin McCarthy,"December 3, 2021",false,0
100,Bill McCarthy,"""If you look pre-COVID"" under President Donald Trump, ""we didn't import a single barrel of oil from Saudi Arabia.”",Sean Hannity,"December 2, 2021",false,0
101,Louis Jacobson,"""The number of small businesses is up 30% compared to before the pandemic.""",Joe Biden,"December 2, 2021",false,0
102,Tom Kertscher,"Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”",The Gateway Pundit,"December 2, 2021",false,0
103,Monique Curet,“Federal magistrate approves $110 million defamation suit against LeBron James by Kyle Rittenhouse.”,Facebook posts,"December 2, 2021",pants-fire,0
104,Becca Schimmel,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,"December 2, 2021",half-true,0
105,Tom Kertscher,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,Bloggers,"December 2, 2021",false,0
106,Bill McCarthy,"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""",Facebook posts,"December 1, 2021",barely-true,0
107,Monique Curet,Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy.,Facebook posts,"December 1, 2021",false,0
108,Monique Curet,“BREAKING: Judge in Ghislaine Maxwell trial issues media-wide gag order: all press & spectators barred from courtroom.”,Facebook posts,"December 1, 2021",false,0
109,Jon Greenberg,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.,Tate Reeves,"December 1, 2021",half-true,0
110,Tom Kertscher,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",Facebook posts,"December 1, 2021",false,0
111,Ciara O'Rourke,“Kyle Rittenhouse files $400 million suit against CNN!”,Viral image,"December 1, 2021",false,0
112,Monique Curet,"“If you were in the military before 2002 you get an additional $1,200 a year, ($100 per month) in Social Security. But you have to ask for it and almost no one knows about it.”",Facebook posts,"December 1, 2021",barely-true,0
113,Ciara O'Rourke,Says Virgil Abloh was a defendant in Ghislaine Maxwell’s criminal case when he died a day before the trial started.,Viral image,"December 1, 2021",false,0
114,Ciara O'Rourke,Video shows child shouting an expletive at Jill Biden.,Viral image,"December 1, 2021",pants-fire,0
115,Kayla Steinberg,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,Bloggers,"December 1, 2021",false,0
116,Ciara O'Rourke,A photo shows Jeffrey Epstein with Joe Biden.,Viral image,"December 1, 2021",false,0
117,Monique Curet,“Malcolm X’s daughter found dead in NYC days after she exposed NYPD and FBI were behind Malcolm X assassination”,Facebook posts,"December 1, 2021",barely-true,0
118,Tom Kertscher,Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. ... I don’t know how to explain this other than vaccine-caused mortality.”,Alex Berenson,"November 30, 2021",barely-true,0
119,Ciara O'Rourke,“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,Viral image,"November 30, 2021",false,0
